Latitude,Longitude,Depth,Magnitude,Magnitude Type
37.317,141.846,35,6,1
43.523,144.316,30,6.7,1
43.502,144.261,30,5.6,0
-2.704,-77.631,93.7,6.1,1
-15.043,-172.636,46.7,5.6,0
16.853,-85.789,20,5.6,0
-5.233,133.932,30,5.6,0
51.094,178.524,30,5.8,0
-7.163,123.752,584.2,6.2,1
-6.157,71.342,22.4,5.9,1
-17.279,-171.847,15,6.4,1
-5.46,147.112,210,5.9,1
-28.865,-71.369,34.8,6.3,1
28.381,-43.765,15,5.7,0
36.44,141.272,35,5.8,0
-22.642,171.04,20,6.4,1
72.763,8.011,15,5.7,0
-22.687,170.92,20,5.9,1
14.432,52.099,11.9,6.5,1
80.161,-0.794,15,6.5,1
28.583,130.138,35,5.7,0
-8.046,112.981,145,5.7,0
-31.128,-71.396,60.5,5.6,0
32.165,130.844,130.1,5.6,0
41.386,20.532,20,6.7,1
